Empresa,Nombre,Modelo,Serie,Ip,MAC
Kasu,Puerta Garita,DH-IPC-HDBW2441E-S,AC0C277PAGAE6A5,192.168.88.44,d4:43:0e:8b:c7:6c
Kasu,Entrada Torre,DH-IPC-HDBW2441E-S,AB0703CPAG35A5C,192.168.88.125,d4:43:0e:42:38:3a
Kasu,Taller Poseidon,DH-IPC-HDBW2441E-S,AB0703CPAGFBBB9,192.168.88.102,d4:43:0e:42:35:6b
Kasu,Pa Vigilancia,DH-IPC-HDBW2441E-S,AC0C277PAG7EF1A,192.168.88.105,d4:43:0e:8b:c7:85
Kasu,Almacen,DH-IPC-HDBW2441E-S,AC0C277PAGDFCF0,192.168.88.110,d4:43:0e:8b:c5:53
Kasu,Pb Vigilancia,DH-IPC-HDBW2441E-S,AC0C277PAGD3327,192.168.88.104,d4:43:0e:8b:c7:6a
Kasu,Monitoreo Carretero,DH-IPC-HDBW2441E-S,AC0C277PAG45520,192.168.88.127,d4:43:0e:8b:c5:2d
Kasu,Taller Pintura,DH-IPC-HDBW2441E-S,AB0703CPAG3183F,192.168.88.103,d4:43:0e:42:36:01
Kasu,NVR Vigilancia,DHI-NVR4232-4KS3,AJ0E738PAZF332D,192.168.88.108,f8:ce:07:bf:bb:c2
Kasu,NVR Patio,DHI-NVR4432-16P-EI,AD0B8ECPAZBBB9F,192.168.88.16,d4:43:0e:c6:49:23
Kasu,Inspeccion Torre2,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG4CDF5,192.168.88.79,d4:43:0e:23:cd:b8
Kasu,Colindancia2,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG921DC,192.168.88.76,d4:43:0e:23:cd:bf
Kasu,Colindancia1,DH-IPC-PDW3849-A180-AS-PV,AK0C2E8PAG00026,192.168.88.53,f8:ce:07:f7:29:2b
Kasu,Entrada1,DH-IPC-PDW3849-A180-AS-PV,AK0C2E8PAG00019,192.168.88.66,f8:ce:07:f7:29:24
Kasu,Vista Patio1,DH-IPC-PDW3849-A180-AS-PV,AA0AD3APAG8CA93,192.168.88.77,d4:43:0e:37:2a:b8
Kasu,Poste Medio,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG14D8B,192.168.88.200,d4:43:0e:23:cd:d3
Kasu,Inspeccion Torre1,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG58140,192.168.88.109,d4:43:0e:23:cd:e9
Kasu,Inspeccion Torre3,DH-IPC-PDW3849-A180-AS-PV,AA0AD3APAGC4DFA,192.168.88.81,d4:43:0e:37:29:e2
Kasu,ESTACION DIECEL,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG559BC,192.168.88.68,d4:43:0e:23:cd:cc
Kasu,Taller Mecanico,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG1434D,192.168.88.70,d4:43:0e:23:cd:e2
Kasu,NVR Oficina,DHI-NVR2216-16P-I2,9K00AACPAZ0F3C3,192.168.88.206,fc:5f:49:60:ab:73
Kasu,Entrada2,DH-IPC-PDW3849-A180-AS-PV,AA0AD3APAG8EBB6,192.168.88.88,d4:43:0e:37:2a:04
Kasu,Vista Patio2,DH-IPC-PDW3849-A180-AS-PV,AC085C0PAGCDDC0,192.168.88.56,d4:43:0e:97:60:0c
Kasu,Entrada,DH-IPC-PDW3849-A180-AS-PV,AG0A615PAG01568,192.168.88.2,f8:ce:07:4d:f1:2a
Kasu,CARGA DIECEL,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAG92513,192.168.88.78,d4:43:0e:23:cd:af
Kasu,Poste Esquina,DH-IPC-PDW3849-A180-AS-PV,AA066BBPAGAA6D2,192.168.88.67,d4:43:0e:23:cd:e1
Loginco,NVR Planta Alta,DHI-NVR2216-16P-I2,9L075BFPAZDD655,192.168.1.223,fc:5f:49:a9:51:82
Loginco,Elevador,DH-IPC-HDBW2441E-S,AC0C277PAG73FBD,192.168.1.6,d4:43:0e:8b:c7:66
Loginco,Area Admin,SND-L6013R,SND-L6013R,192.168.1.119,00:16:6c:f6:4f:6e
